"id","external_id","details","city","zip","website","street","state","email","created_at","updated_at","phone_1","phone_type_1","phone_2","phone_type_2","phone_3","phone_type_3","phone_4","phone_type_4","phone_5","phone_type_5","phone_6","phone_type_6","phone_7","phone_type_7","phone_8","phone_type_8","company_name"
1,"1085","700 International Dr.
Franklin, IN 46131
Fax: (317) 636-9020
Personnel
Program Contact
Shelly Fields (Customer Svc.)","Franklin","46131","","700 International Dr.
||Personnel
||Program Contact
||Shelly Fields (Customer Svc.)
||","IN","","2009-05-18 17:46:32","2009-05-18 17:48:09","(317) 636-9020","Fax",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Franklin Plastic Products"
2,"1096","2872 State Rt. 10
Summit, NY 12175
Phone: (518) 287-1428
Email: info@cetsolar.com
Website: www.cetsolar.com
Personnel
Program Contact
Richard L. Schnakenberg (Pres.)
Phone: (602) 298-4841","Summit","12175","www.cetsolar.com","2872 State Rt. 10","NY","info@cetsolar.com","2009-05-18 17:46:32","2009-05-18 17:48:09","(518) 287-1428","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Creative Energy Technologies Inc."
3,"1136","143 Water St.
West Bend, WI 53095
Fax: (262) 338-7517
Personnel
Program Contact
Susie Kertscher (Mktg. Asst.)
Phone: (262) 334-9461
 
Ad Aid Contact
Lori Heidecker","West Bend","53095","","143 Water St.
||Personnel
||Program Contact
||Susie Kertscher (Mktg. Asst.)
|| 
||Ad Aid Contact
||Lori Heidecker
||","WI","","2009-05-18 17:46:32","2009-05-18 17:48:09","(262) 338-7517","Fax","(262) 334-9461","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Gehl Company"
4,"1147","P.O. Box 7387
3000 Mine Rd.
Fredericksburg, VA 22408
Phone: (540) 898-5700
Toll Free: (800) 755-3667
Fax: (540) 898-5802
Email: technical.support@benchmarkdoors.com
Website: www.benchmarkdoors.com","Fredericksburg","22408","www.benchmarkdoors.com","P.O. Box 7387
||3000 Mine Rd.","VA","technical.support@benchmarkdoors.com","2009-05-18 17:46:32","2009-05-18 17:48:09","(540) 898-5700","Phone","(800) 755-3667","Toll Free","(540) 898-5802","Fax",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Benchmark Door Systems"
5,"1075","117 W. Tupper St.
Buffalo, NY 14201
Fax: (716) 856-0750
Website: www.fppf.com
Personnel
Program Contact
Joanne  Angelino  (Co-op Dept.)
Phone: (716) 856-9607
 
Bernadette Symanski (Co-op Dept.)","Buffalo","14201","www.fppf.com","117 W. Tupper St.","NY","","2009-05-18 17:46:32","2009-05-18 17:48:09","(716) 856-0750","Fax",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FPPF Chemical Co., Inc."
6,"1086","830 Edgeley Blvd.
Concord, ON L4K 4X1
Canada
Personnel
Program Contact
Rick Marnero (Co-op Mgr.)
Phone: (905) 660-3500
Fax: (905) 660-3372","Concord","L4K 4X1","","830 Edgeley Blvd.
||Canada
||Personnel
||Program Contact
||Rick Marnero (Co-op Mgr.)
||","ON","","2009-05-18 17:46:32","2009-05-18 17:48:09","(905) 660-3500","Phone","(905) 660-3372","Fax",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fred Deeley Imports Limited"
7,"1097","P.O. Box 152044
2520 W. Irving Blvd.
Irving, TX 75015-2044
Fax: (972) 790-1322
Personnel
Program Contact
Kathy McCurry (Dir.-Prod. Devel.)
Phone: (972) 790-0808
Toll Free: (800) 527-7731","Irving","75015-2044","","P.O. Box 152044
||2520 W. Irving Blvd.
||Personnel
||Program Contact
||Kathy McCurry (Dir.-Prod. Devel.)
||","TX","","2009-05-18 17:46:32","2009-05-18 17:48:09","(972) 790-1322","Fax","(972) 790-0808","Phone","(800) 527-7731","Toll Free",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fruit of the Earth, Inc."
8,"1108","105 E. 12th St.
Clintonville, WI 54929
Fax: (715) 823-5768
Personnel
Program Contact
Rollie Myers (Dir.-Sls. & Mktg.)
Phone: (715) 823-2141","Clintonville","54929","","105 E. 12th St.
||Personnel
||Program Contact
||Rollie Myers (Dir.-Sls. & Mktg.)
||","WI","","2009-05-18 17:46:32","2009-05-18 17:48:09","(715) 823-5768","Fax","(715) 823-2141","Phone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FWD Corp./Seagrave Fire Apparatus"
9,"1137","143 Water St.
West Bend, WI 53095
Fax: (262) 338-7517
Website: www.gehl.com
Personnel
Susan Kertcher (Mktg. Asst.)
Phone: (262) 334-9461
 
Program Contact
Lori Heidecker","West Bend","53095","www.gehl.com","143 Water St.","WI","","2009-05-18 17:46:32","2009-05-18 17:48:09","(262) 338-7517","Fax",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Gehl Company - Farm"
10,"1148","5800 N.W. 163rd St.
Miami Lakes, FL 33014
Fax: (305) 823-0626
Personnel
Program Contact
Richard Schechter (Dir.)","Miami Lakes","33014","","5800 N.W. 163rd St.
||Personnel
||Program Contact
||Richard Schechter (Dir.)
||","FL","","2009-05-18 17:46:32","2009-05-18 17:48:09","(305) 823-0626","Fax",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TressAllure - General Wig Manufacturers"
