id,"manufacturer_accrual","category","plan_name","details",company_id,"company_name","expiration",participation_percentage,"external_id","created_at","updated_at"
1,"1%","Building Materials","","Corporate Address
P.O. Box 7387
3000 Mine Rd.
Fredericksburg, VA 22408
Phone: (540) 898-5700
Toll Free: (800) 755-3667
Fax: (540) 898-5802
programs matching search criteria   other programsPlan 1 - Retailer/Wholesaler
Type
Retailer/Wholesaler
Special Instructions
No co-op adv. funds will be approved for Landmark Doors.  Mfr. requires prior approval on all advertising.
Products
doors and frames
Trademarks
Adjust A-Fit; Benchmark; Legend; Secura-Fit; Vista II
Timing
Program: Apr. 01 - Mar. 31
Accrual: Apr. 01 - Mar. 31
Advertising: Apr. 01 - Mar. 31
Claim: Within 60 days of ad run
Accrual
1%
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
CatalogCircularClassified Display AdsClassified Line AdsDirect MailExhibitFlyerMagazineNewspaperNewspaper InsertOutdoorRadioShopperStatement StufferTVWeekly NewspaperYellow Pages
Advertising Specifications
-All advertising requires prior approval.-Trademark name required.-Trademark name must be prominent.
Advertising Aids
Camera-ready ads; Print elements
Reimbursement Method
Check; Credit memo
Claim Documentation
-All Media: paid media invoice-Catalog: complete copy of piece-Circular: complete copy of piece-Direct Mail: complete copy of piece-Exhibit: proof of performance-Flyer: complete copy of piece-Magazine: complete copy of piece-Newspaper: full page tearsheet-Newspaper Insert: complete copy of piece-Outdoor: proof of performance-Radio: script; station affidavit-Shopper: complete copy of piece-Statement Stuffer: complete copy of piece-TV: script; station affidavit; storyboard-Weekly Newspaper: full page tearsheet-Yellow Pages: full page tearsheet
Claim Address
P.O. Box 7387
3000 Mine Rd.
Fredericksburg, VA 22408",4,"Benchmark Door Systems","04/01",50,"1147-1","2009-05-18 17:46:30","2009-05-18 17:48:09"
2,"0.5%","Machinery and Construction Equipment","","Corporate Address
143 Water St.
West Bend, WI 53095
Fax: (262) 338-7517
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
construction equipment
Trademarks
Dynalifts
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: Within 90 days of ad run
Accrual
.5%
Participation
Manufacturer: 50%
Dealer: 50%
Maximum: $1000
May Include: Color Charges; Space or Time Only
Eligible Media
CatalogCircularDirect MailMagazineNewspaperNewspaper InsertRadioShopperWeekly Newspaper
Advertising Specifications
-Manufacturer's products only; no omnibus ads.-All advertising requires prior approval.-Trademark name required.-Not misleading.
Media Requirements
-Catalog: Other; Trade catalogs only-Circular: audited circulation-Direct Mail: paid circulation-Magazine: Other; Trade magazines only-Newspaper: audited circulation-Newspaper Insert: Must be 8 1/2 x 11 in size; Other; audited circulation-Outdoor: Dealer signage only; 2'x 6' min. size, wall mount or free standing-Shopper: audited circulation-Weekly Newspaper: audited circulation
Advertising Aids
Camera-ready ads; Print elements
Reimbursement Method
Check; Credit memo
Claim Documentation
-Catalog: affidavit of distribution; complete copy of piece; paid media invoice; paid printer's invoice-Circular: affidavit of distribution; complete copy of piece; paid media invoice; paid printer's invoice-Direct Mail: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Magazine: affidavit of distribution; complete copy of piece; paid media invoice; paid printer's invoice-Newspaper: full page tearsheet; paid media invoice-Newspaper Insert: affidavit of distribution; complete copy of piece; paid media invoice; paid printer's invoice-Outdoor: proof of performance-Shopper: affidavit of distribution; complete copy of piece; paid media invoice; paid printer's invoice-Weekly Newspaper: full page tearsheet; paid media invoice
Claim Address
143 Water St.
West Bend, WI 53095",3,"Gehl Company","12/31",50,"1136-1","2009-05-18 17:46:31","2009-05-18 17:48:09"
3,"3%","Hardware","","Corporate Address
2872 State Rt. 10
Summit, NY 12175
Phone: (518) 287-1428
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
Early closure; water saving retrofit toilet flapper for 3.5GPF & larger units & an 1.6 GPF universal replacement flapper; water saving toilet parts
Trademarks
Frugal Flush; Retroflapper
Timing
Program: Jan. 01 - Dec. 31
Accrual: Quarterly
Advertising: Quarterly
Claim: Within 60 days of ad run
Accrual
3%
Participation
Manufacturer: 100%
Eligible Media
MagazineNewspaperWeekly Newspaper
Advertising Specifications
-All advertising requires prior approval.-Products must be illustrated.-Manufacturer's logo required.-Trademark name required.
Advertising Aids
Camera-ready ads; Print elements
Reimbursement Method
Credit memo
Claim Documentation
-Magazine: complete copy of piece; paid media invoice-Newspaper: full page tearsheet; paid media invoice-Weekly Newspaper: full page tearsheet; paid media invoice
Claim Address
Rector Seal Corp.
2601 Stenwick Dr.
Houston, TX 77055
Attn: Steve Perry
Tel.: 800-231-3345",2,"Creative Energy Technologies Inc.","12/31",100,"1096-1","2009-05-18 17:46:31","2009-05-18 17:48:09"
4,"See Full Citation","Linens - Bed, Bath and Kitchen","","Corporate Address
700 International Dr.
Franklin, IN 46131
Fax: (317) 636-9020
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
Bath Products & Accessories
Trademarks
Oxford Bath
Timing
Program: Calendar year
Participation
Manufacturer: 100%
Eligible Media
Trade magazines
Claim Address
700 International Dr.
Franklin, IN 46131",1,"Franklin Plastic Products","12/31",100,"1085-1","2009-05-18 17:46:31","2009-05-18 17:48:09"
5,"10%","Cosmetics and Personal Care Products","","Corporate Address
5800 N.W. 163rd St.
Miami Lakes, FL 33014
Fax: (305) 823-0626
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Special Instructions
Contact mfr. for adv. aids; all advertising must receive prior approval
Products
extensions; hair add-ons; hair enhancers; wigs
Trademarks
Adolfo; Revlon; TressAllure
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: by Dec. 31
Accrual
10%
Participation
Manufacturer: 50%
Dealer: 50%
May Include: Space or Time Only
Eligible Media
CatalogMagazineNewspaperNewspaper InsertRadioTVTrade MagazineTrade ShowWeekly NewspaperYellow Pages
Advertising Specifications
-All of manufacturer's products may be advertised.-No competing products.-All advertising requires prior approval.-Manufacturer's logo required.-Trademark name required.-Not misleading.-Store name and address.-Logo prominent.
Advertising Aids
Camera-ready ads
Reimbursement Method
Check
Claim Documentation
-All Media: cassette; complete copy of piece; full page tearsheet; manufacturer's claim form; paid media invoice; proof of performance; script; station affidavit
Claim Address
5800 N.W. 163rd St.
Miami Lakes, FL 33014",10,"TressAllure - General Wig Manufacturers","12/31",50,"1148-1","2009-05-18 17:46:31","2009-05-18 17:48:09"
6,"See Full Citation","Agricultural Products","","Corporate Address
143 Water St.
West Bend, WI 53095
Fax: (262) 338-7517
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
farm machinery & construction equipment
Trademarks
Gehl
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: Within 90 days of ad run
Accrual
$2,000 to $8,000 based on previous year  maximum
Participation
Manufacturer: 50%
Dealer: 50%
May Include: Space or Time Only
Eligible Media
Farm organization newspapers or magzinesMagazineNewspaperRadioShopperWeekly Newspaper
Advertising Specifications
-No competing products.-Only advertising material supplied by manufacturer may be used.-Prior approval required for advertising material not supplied by manufacturer.-Not misleading.
Media Requirements
-Newspaper: published rate card required-Weekly Newspaper: published rate card required
Advertising Aids
Print elements; Radio commercials
Reimbursement Method
Credit memo
Claim Documentation
-Newspaper: full page tearsheet; local media rate card; manufacturer's claim form; paid media invoice-Radio: ANA/RAB * electronic tearsheet; local media rate card; manufacturer's claim form; paid media invoice-Shopper: complete copy of piece; manufacturer's claim form; paid media invoice-Weekly Newspaper: full page tearsheet; local media rate card; manufacturer's claim form; paid media invoice
Claim Address
143 Water St.
West Bend, WI 53095",9,"Gehl Company - Farm","12/31",50,"1137-1","2009-05-18 17:46:31","2009-05-18 17:48:09"
7,"See Full Citation","Automobiles, Trucks and RVs","","Corporate Address
105 E. 12th St.
Clintonville, WI 54929
Fax: (715) 823-5768
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
fire apparatus; heavy duty trucks
Trademarks
FWD; Seagrave
Timing
Program: Ongoing
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
BrochureMagazineNewspaperTrade Show
Claim Address
105 E. 12th St.
Clintonville, WI 54929",8,"FWD Corp./Seagrave Fire Apparatus","12/31",50,"1108-1","2009-05-18 17:46:31","2009-05-18 17:48:09"
8,"10%","Cosmetics and Personal Care Products","","Corporate Address
P.O. Box 152044
2520 W. Irving Blvd.
Irving, TX 75015-2044
Fax: (972) 790-1322
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
Aloe vera creams; Vitamin E creams, oil; juices; lotions
Trademarks
Fruit of the Earth
Timing
Program: Calendar year
Accrual: Quarterly
Advertising: Calendar year
Claim: Within 60 days of ad run
Accrual
10%
Participation
Manufacturer: 100%
Eligible Media
CatalogCircularDirect MailFlyerMagazineNewspaperNewspaper InsertRadioShopperStatement StufferTVWeekly Newspaper
Advertising Specifications
-No competing products.-Products must be illustrated.-Trademark name must be prominent.-Logo prominent.
Media Requirements
-Radio: prior approval required-TV: prior approval required
Advertising Aids
Print elements
Reimbursement Method
Check
Claim Documentation
-All Media: paid media invoice-Catalog: complete copy of piece-Circular: complete copy of piece-Direct Mail: complete copy of piece-Flyer: complete copy of piece-Magazine: complete copy of piece-Newspaper: full page tearsheet-Newspaper Insert: complete copy of piece-Radio: script; station affidavit-Shopper: complete copy of piece-Statement Stuffer: complete copy of piece-TV: script; station affidavit-Weekly Newspaper: complete copy of piece
Claim Address
Attn: Kathy McCurry
Fruit of the Earth, Inc.
P.O. Box 152044
Irving, TX 75015-2044
FAX: (972) 790-1322",7,"Fruit of the Earth, Inc.","12/31",100,"1097-1","2009-05-18 17:46:31","2009-05-18 17:48:09"
9,"See Full Citation","Motorcycles, Accessories and Supplies","","Corporate Address
830 Edgeley Blvd.
Concord, ON L4K 4X1
Canada
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
motorcycles
Trademarks
Harley Davidson
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
MagazineNewspaperRadioTV
Claim Address
830 Edgeley Blvd.
Concord, ON L4K 4X1
Canada",6,"Fred Deeley Imports Limited","07/31",50,"1086-1","2009-05-18 17:46:32","2009-05-18 17:48:09"
10,"5%","Automotive Aftermarket","Distributor Co-op Plan","Corporate Address
117 W. Tupper St.
Buffalo, NY 14201
Fax: (716) 856-0750
programs matching search criteria   other programsPlan 1 - Wholesaler
Name
Distributor Co-op Plan
Type
Wholesaler
Products
diesel fuel additives
Trademarks
FPPF
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: Within 30 days of ad run
Accrual
5%
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
Specialty ItemWeekly Newspaperfleet night seminars; test kits & sls. access.; mdse. aids; P.O.P. displays
Advertising Specifications
-Manufacturer's logo required.-Trademark name required.
Reimbursement Method
Check; Credit memo
Claim Documentation
-All Media: paid media invoice; proof of performance-Shopper: Fleet night seminars; test kits & sls. access.; mdsg. aids; P.O.P. displays
Claim Address
117 W. Tupper St.
Buffalo, NY 14201",5,"FPPF Chemical Co., Inc.","12/31",50,"1075-1","2009-05-18 17:46:32","2009-05-18 17:48:09"
